canonical_product_id,product_cluster_id,canonical_title,brand,species,category,subcategory,life_stage,breed_size,form_factor,flavor,functional_claim,pack_size_value,pack_size_unit,price_per_kg_last,dog_cat_confidence,taxonomy_confidence,first_seen_date,last_seen_date,is_active
e9b004ae560a5435,e9b004ae560a5435,"Whiskas Adult (1+ Years) Wet Cat Food, Chicken in Gravy, 80 g (Pack of 14), Hydrating Food Made With Real Chicken, 100% Compl",whiskas,cat,cat_food,,,,,,,,,,0.95,0.85,2026-07-07,2026-07-07,True
54b37cf471fe5482,54b37cf471fe5482,Drools Inside Container Egg and Chicken 5 kg Dry Adult Dog Food,drools,dog,dog_food,,,,,,,,,,0.95,0.85,2026-07-07,2026-07-07,True
a2cfd529fc3907bc,a2cfd529fc3907bc,Drools Biscuits Real Chicken and Egg Dog Treat,drools,dog,training,,,,,,,,,,0.95,0.85,2026-07-07,2026-07-07,True
afe09fc162350e92,afe09fc162350e92,Active Chicken and Vegetable 20 kg (2x10 kg) Dry Adult Dog Food,active,dog,dog_food,,,,,,,,,,0.95,0.85,2026-07-07,2026-07-07,True
7f0871dee6381c00,7f0871dee6381c00,Drools Adult Dry Dog Food 5kg | Chicken & Egg Flavour | Omega 3 & 6 for Growth | Better Digestibility | Supports Joint Health,drools,dog,dog_food,,,,,,,,,,0.95,0.85,2026-07-07,2026-07-07,True
612e82eb08a4bbd6,612e82eb08a4bbd6,"JIARON Feather Teaser Cat Toy, 2PCS Retractable Wand & 10PCS Replacement Feathers, Interactive Cat Catcher & Exercise for Kit",jiaron,cat,cat_toys,,,,,,,,,,0.95,0.85,2026-07-07,2026-07-07,True
3394c7e88ba5f39a,3394c7e88ba5f39a,"SmileDenX Teeth Cleaning Wipes for Dogs & Cats, Dog Finger Toothbrush Wipes, Dog Dental Care Finger Wipes, Dog Tooth Brushing",smiledenx,both,health_wellness,,,,,,,,,,0.75,0.85,2026-07-07,2026-07-07,True
572e52cb523eff92,572e52cb523eff92,Wooflix Heavy Duty Nylon Dog Leash | Anti Slip Padded Handle Long Dog Leash | Highly Reflective Leash for Dogs | Dog Rope for,wooflix,dog,collars_leashes,,,,,,,,,,0.95,0.85,2026-07-07,2026-07-07,True
b37a1a038fe47bc7,b37a1a038fe47bc7,Yuppy Puppy Nail Clipper for Cats - Gentle Round Hole Trimmer with Dust Storage | Adjustable Size & Hidden Nail File | Pet Gr,yuppy,both,grooming,,,,,,,,,,0.75,0.85,2026-07-07,2026-07-07,True
ef7b0db1ac5361e7,ef7b0db1ac5361e7,"Foodie Puppies Pet Hair Remover Lint Roller with Handle and 4 Refills (300 Sheets), Hair Remover for Dogs and Cats, Ideal for",foodie,both,grooming,,,,,,,,,,0.75,0.85,2026-07-07,2026-07-07,True
228c8a0e975c8fc8,228c8a0e975c8fc8,"Natural Remedies Fresh Me Up Mild Waterless Foam Cleanser Dry Shampoo for Dogs, Cats and Pups of All Breeds, Moisturizer & Co",natural,both,grooming,,,,,,,,,,0.75,0.85,2026-07-07,2026-07-07,True
5a40a3fed64b51c9,5a40a3fed64b51c9,"Foodie Puppies 2-in-1 Reversible Cat Scratcher Pad with Catnip for Cats & Kittens, (Couch, 43.5 x 23 x 6 cm) | Durable Corrug",foodie,both,beds_accessories,,,,,,,,,,0.75,0.85,2026-07-07,2026-07-07,True
fe3db59d907a2820,fe3db59d907a2820,PEDIGREE Dentastix Oral Care for Small Breed (5-10 kg) Dog Treat,pedigree,dog,training,,,,,,,,,,0.95,0.85,2026-07-07,2026-07-07,True
b1638bcb1b88d0a0,b1638bcb1b88d0a0,"amazon basics Large Elevated Cooling Mesh Fabric Pet Dog Cot Bed - 51 X 31 X 8 Inches, Green",amazon basics,dog,beds_accessories,,,,,,,,,,0.95,0.85,2026-07-07,2026-07-07,True
8d9f47cc0c51e417,8d9f47cc0c51e417,"Foodie Puppies Latex Rubber Squeaky Dog Chew Ball Toy - (Claw Ball, Small) Durable and Safe Fetch Teething Dog Toy for Puppie",foodie,dog,dog_toys,,,,,,,,,,0.95,0.85,2026-07-07,2026-07-07,True
6f5e9bb4cf8269c5,6f5e9bb4cf8269c5,"Heartie Oatmeal 6-in-1 Pet Shampoo & Conditioner |Paraben Free Dog Shampoo |Shiny Coat Conditioning, Hypoallergenic, Anti-itching Fresh Dog, Cat Shampoo",heartie,both,grooming,,,,,,,,,,0.75,0.85,2026-07-07,2026-07-07,True
50fa5b101138d1b4,50fa5b101138d1b4,"Whiskas Junior Kitten (2-12 Months) Wet Cat Food, Chicken in Gravy, 80 g (Pack of 14), Hydrating Food Made With Real Chicken,",whiskas,cat,cat_food,,,,,,,,,,0.95,0.85,2026-07-07,2026-07-07,True
57e5475a25a1d699,57e5475a25a1d699,"Foodie Puppies Cat Teaser Playing Stick Wooden Cat Wand Toy for Cats and Kittens - (Mouse-Bell - 40cm), Interactive Feather T",foodie,both,cat_toys,,,,,,,,,,0.75,0.85,2026-07-07,2026-07-07,True
b913eaf3383a045c,b913eaf3383a045c,"Drools Absolute Dog Supplement Tablet, Skin+ Coat 400g 110 Pieces Jar | Turmeric Flavour | Supports Skin& Food Sensitivity",drools,dog,health_wellness,,,,,,,,,,0.95,0.85,2026-07-07,2026-07-07,True
