snapshot_date,source,source_market,product_id,product_title,brand,species,category,rank_position,price,currency,rating,review_count,sold_count,video_count,creator_count,engagement_score,source_url,image_url,fetch_method,compliance_status,computed_ts,global_signal_score,signal_basis,rank_position_global
2026-07-09,amazon_us,US,B096G34R6P,Cats Dogs ID Tags Personalized Lovely Symbols Pets Collar Name Accessories Simple Custom Engraved Products for Extra Small Fo,cats,both,collars_leashes,6,5.98,USD,4.7,26788,,,,,https://www.amazon.com/Personalized-Accessories-Engraved-Anti-Lost-Stainless/dp/B096G34R6P/ref=zg_bs_g_2975252011_d_sccl_7/141-1609880-8673648?psc=1,"https://images-na.ssl-images-amazon.com/images/I/61TmuMM5U8L._AC_UL300_SR300,200_.jpg",html_scrape,public_page_no_login,2026-07-09T17:46:55.889028,80.28,rank+rating (no price on amazon.com list page),53
2026-07-09,amazon_us,US,B08R74XVCS,Ameritex Waterproof Dog Bed Cover Pet Blanket for Furniture Bed Couch Sofa Reversible,ameritex,dog,beds_accessories,5,7.99,USD,4.3,35793,,,,,https://www.amazon.com/Ameritex-Waterproof-Blanket-Furniture-Reversible/dp/B08R74XVCS/ref=zg_bs_g_2975326011_d_sccl_6/141-1609880-8673648?psc=1,"https://images-na.ssl-images-amazon.com/images/I/610abeGarmS._AC_UL300_SR300,200_.jpg",html_scrape,public_page_no_login,2026-07-09T17:46:55.889028,79.97,rank+rating (no price on amazon.com list page),54
2026-07-09,amazon_us,US,B000NVBVD6,"Stella & Chewy's Freeze-Dried Raw Chicken Meal Mixers- Dog Food Topper and Mixer - Made with 95% Cage-Free Chicken, Organs &",stella,dog,dog_food,6,,USD,4.6,8110,,,,,https://www.amazon.com/Stella-ChewyS-Freeze-Dried-Chicken-Grain-Free/dp/B000NVBVD6/ref=zg_bs_g_2975359011_d_sccl_6/141-1609880-8673648?psc=1,"https://images-na.ssl-images-amazon.com/images/I/819U+2EgScL._AC_UL300_SR300,200_.jpg",html_scrape,public_page_no_login,2026-07-09T17:46:55.889028,79.79,rank+rating (no price on amazon.com list page),55
2026-07-09,amazon_us,US,B07YKRPYJH,"Tempcore Pet Cat Tunnel Tube Toys 3 Way Collapsible, Tunnels for Indoor Cats, Interactive Tube with Teaser Wand, Peek Holes &",tempcore,cat,cat_toys,6,9.99,USD,4.6,18142,,,,,https://www.amazon.com/Tempcore-Tunnel-Collapsible-Tunnels-Cats%EF%BC%8CKitty/dp/B07YKRPYJH/ref=zg_bs_g_2975303011_d_sccl_6/141-1609880-8673648?psc=1,"https://images-na.ssl-images-amazon.com/images/I/61FN+6TrJWL._AC_UL300_SR300,200_.jpg",html_scrape,public_page_no_login,2026-07-09T17:46:55.889028,79.79,rank+rating (no price on amazon.com list page),56
2026-07-09,amazon_us,US,B09WDDGP2V,"AMOSIJOY Cordless Cat Window Perch, Cat Hammock for Wall with 4 Suction Cups, Solid Metal Frame and Reversible Cover, Foldabl",amosijoy,cat,beds_accessories,6,15.33,USD,4.6,7874,,,,,https://www.amazon.com/AMOSIJOY-Cordless-Installation-Foldable-Large/dp/B09WDDGP2V/ref=zg_bs_g_2975243011_d_sccl_6/141-1609880-8673648?psc=1,"https://images-na.ssl-images-amazon.com/images/I/71gvccdY6GL._AC_UL300_SR300,200_.jpg",html_scrape,public_page_no_login,2026-07-09T17:46:55.889028,79.64,rank+rating (no price on amazon.com list page),57
2026-07-09,amazon_us,US,B0C15QKM3X,WOOF Pupsicle - Long-Lasting Interactive Dog Ball Toy to Keep Your Pup Busy and Distracted - Safe for Dogs - Low-Mess Design,woof,dog,dog_toys,5,19.99,USD,4.2,8063,,,,,https://www.amazon.com/WOOF-Pupsicle-Long-Lasting-Distracted-Fillable/dp/B0C15QKM3X/ref=zg_bs_g_2975413011_d_sccl_5/141-1609880-8673648?psc=1,"https://images-na.ssl-images-amazon.com/images/I/71wyN1k7SeL._AC_UL300_SR300,200_.jpg",html_scrape,public_page_no_login,2026-07-09T17:46:55.889028,79.46,rank+rating (no price on amazon.com list page),58
2026-07-09,amazon_us,US,B075N83693,"gonicc Dog & Cat Pets Nail Clippers and Trimmers - with Safety Guard to Avoid Overcutting, Free Nail File, Razor Sharp Blade",gonicc,both,grooming,6,12.95,USD,4.5,78709,,,,,https://www.amazon.com/gonicc-Dog-Nail-Clippers-Trimmer/dp/B075N83693/ref=zg_bs_g_2975362011_d_sccl_6/141-1609880-8673648?psc=1,"https://images-na.ssl-images-amazon.com/images/I/51iiP1EhLZL._AC_UL300_SR300,200_.jpg",html_scrape,public_page_no_login,2026-07-09T17:46:55.889028,79.3,rank+rating (no price on amazon.com list page),59
2026-07-09,amazon_us,US,B0B9QSQP5Q,"Cat Hairball Remedy Treats - Dual Texture Crunchy Creamy Hairball Treatment for Cats, Furball Relief Control Supplement with",cat,cat,health_wellness,6,15.99,USD,4.6,6795,,,,,https://www.amazon.com/Cat-Hairball-Remedy-Treats-Supplement/dp/B0B9QSQP5Q/ref=zg_bs_g_2975276011_d_sccl_6/141-1609880-8673648?psc=1,"https://images-na.ssl-images-amazon.com/images/I/61Zh0DEs9KL._AC_UL300_SR300,200_.jpg",html_scrape,public_page_no_login,2026-07-09T17:46:55.889028,78.91,rank+rating (no price on amazon.com list page),60
2026-07-09,amazon_us,US,B09K9FDLFN,"Blue Buffalo Life Protection Formula Chicken & Brown Rice Small Breed Adult Dry Dog Food, Supports Immunity with Antioxidant-",blue,dog,dog_food,7,,USD,4.7,20147,,,,,https://www.amazon.com/Blue-Buffalo-Protection-Formula-Natural/dp/B09K9FDLFN/ref=zg_bs_g_2975359011_d_sccl_7/141-1609880-8673648?psc=1,"https://images-na.ssl-images-amazon.com/images/I/81nH5-m0yPL._AC_UL300_SR300,200_.jpg",html_scrape,public_page_no_login,2026-07-09T17:46:55.889028,78.63,rank+rating (no price on amazon.com list page),61
2026-07-09,amazon_us,US,B00HN089EO,"Purina Friskies Dry Cat Food Seafood Sensations With Salmon, Tuna, and Shrimp Flavors - 22 lb. Bag",purina,cat,cat_food,7,,USD,4.7,28880,,,,,https://www.amazon.com/Purina-Friskies-Seafood-Sensations-Adult/dp/B00HN089EO/ref=zg_bs_g_2975265011_d_sccl_9/141-1609880-8673648?psc=1,"https://images-na.ssl-images-amazon.com/images/I/81M3IVlQKSL._AC_UL300_SR300,200_.jpg",html_scrape,public_page_no_login,2026-07-09T17:46:55.889028,78.63,rank+rating (no price on amazon.com list page),62
