snapshot_date,source,product_id,product_title,brand,mapped_india_category,india_category_relevance,india_availability,global_opportunity_bucket,global_opportunity_score,reason
2026-07-09,amazon_us,B001QCKS4O,Purina Pro Plan Complete Essentials Shredded Blend Chicken and Rice Dog Food Dry Formula with Probiotics for Dogs - 35 lb. Ba,purina,dog_food,1.0,False,not_yet_available_in_india,83.34,Category 'dog_food' already sold in India; brand 'purina' not seen in today's India gold data - potential white-space opportunity.
2026-07-09,amazon_us,B0BZZC5PMF,"Docrok Pet Grooming Combo - Blue Deshedding Brush with Metal Comb for Detangling and Dematting Long, Matted Fur on Cats and D",docrok,grooming,1.0,False,not_yet_available_in_india,83.34,Category 'grooming' already sold in India; brand 'docrok' not seen in today's India gold data - potential white-space opportunity.
2026-07-09,amazon_us,B0B591N61M,"Dog Beds Crate Pad for Medium/Large Dogs Fit Metal,Ultra Soft, Washable & Anti-Slip Kennel Pad for Dogs Cozy Sleeping Mat,Gra",dog,beds_accessories,1.0,True,already_available_in_india,83.33,Brand 'dog' already tracked in India gold data; global signal may indicate a rising SKU/variant to prioritize.
2026-07-09,amazon_us,B005DR5KGE,Multipet Lamb Chop Dog Plush Toy - Squeaky Toy for All Dogs - Extra Soft Plush - Stuffed Animal Dog Toy for Cuddling & Playin,multipet,dog_toys,1.0,False,not_yet_available_in_india,83.05,Category 'dog_toys' already sold in India; brand 'multipet' not seen in today's India gold data - potential white-space opportunity.
2026-07-09,amazon_us,B00BAGTNAQ,"ChomChom Roller Pet Hair Remover – Original Size Reusable Lint Roller for Cat & Dog Hair on Furniture, Couch, Carpet, Car, Ru",chomchom,grooming,1.0,False,not_yet_available_in_india,83.05,Category 'grooming' already sold in India; brand 'chomchom' not seen in today's India gold data - potential white-space opportunity.
2026-07-09,amazon_us,B00ZJ5BJ74,"Vetnique Glandex Anal Gland Soft Chew Treats with Pumpkin for Dogs Digestive Enzymes, Probiotics Fiber Supplement for Dogs Bo",vetnique,health_wellness,1.0,False,not_yet_available_in_india,83.05,Category 'health_wellness' already sold in India; brand 'vetnique' not seen in today's India gold data - potential white-space opportunity.
2026-07-09,amazon_us,B0B432YY5Z,"gogobunny 3X Stronger Waterproof Pet Blanket, Scratch Proof Furniture Protector for Dogs Cats, Reversible Cover 30x70 Inch, D",gogobunny,beds_accessories,1.0,False,not_yet_available_in_india,82.76,Category 'beds_accessories' already sold in India; brand 'gogobunny' not seen in today's India gold data - potential white-space opportunity.
2026-07-09,amazon_us,B0727R5C5Q,"Purina Friskies Gravy Swirlers With Flavors of Chicken, Salmon and Gravy Dry Cat Food - 3.15 lb. Bag",purina,cat_food,1.0,False,not_yet_available_in_india,82.65,Category 'cat_food' already sold in India; brand 'purina' not seen in today's India gold data - potential white-space opportunity.
2026-07-09,amazon_us,B0CPDDQ47W,"TIMHAKA Cat Scratching Board, Corrugate Cat Scratcher for Indoor Cats with Catnip, Cat Scratch Pad with Premium Scratch Textu",timhaka,beds_accessories,1.0,False,not_yet_available_in_india,82.53,Category 'beds_accessories' already sold in India; brand 'timhaka' not seen in today's India gold data - potential white-space opportunity.
2026-07-09,amazon_us,B09WHBG4DV,"Potaroma Cat Toys Pillows, 3 Pack, Soft and Durable Crinkle Sound with Catnip Inside, Interactive Indoor Kitten Kicker, Promo",potaroma,cat_toys,1.0,False,not_yet_available_in_india,82.35,Category 'cat_toys' already sold in India; brand 'potaroma' not seen in today's India gold data - potential white-space opportunity.
2026-07-09,amazon_us,B005CUTWDE,Wahl USA Dry Skin & Itch Relief Pet Shampoo for Dogs – Oatmeal Formula with Coconut Lime Verbena Scent & Pet Friendly Formula,wahl,grooming,1.0,False,not_yet_available_in_india,82.35,Category 'grooming' already sold in India; brand 'wahl' not seen in today's India gold data - potential white-space opportunity.
2026-07-09,amazon_us,B089RGDQBB,"Bedsure Orthopedic Dog Beds Large Sized Dog - Washable Large Dog Cat Bed Waterproof, Comfort Dogs Couch Sofa with Washable Re",bedsure,beds_accessories,1.0,False,not_yet_available_in_india,82.35,Category 'beds_accessories' already sold in India; brand 'bedsure' not seen in today's India gold data - potential white-space opportunity.
2026-07-09,amazon_us,B0050JM626,"Nutramax Proviable Probiotics for Dogs and Cats, Daily Digestive Health Supplement with Multiple Strains of Bacteria, Cat and",nutramax,health_wellness,1.0,False,not_yet_available_in_india,82.35,Category 'health_wellness' already sold in India; brand 'nutramax' not seen in today's India gold data - potential white-space opportunity.
2026-07-09,amazon_us,B08CK5Z5Q1,"Joytale Reflective Dog Collar, Soft Neoprene Padded, Metal D-Ring, Nylon Pet Collar Adjustable for Large Dogs, Teal, L",joytale,collars_leashes,1.0,False,not_yet_available_in_india,82.35,Category 'collars_leashes' already sold in India; brand 'joytale' not seen in today's India gold data - potential white-space opportunity.
2026-07-09,amazon_us,B0B5RX3KXY,"Dgerp Airtag Cat Collar Breakaway, Reflective Kitten Collar with Apple Air Tag Holder and Bell for Girl Boy Cats, 0.4 Inches",dgerp,collars_leashes,1.0,False,not_yet_available_in_india,82.17,Category 'collars_leashes' already sold in India; brand 'dgerp' not seen in today's India gold data - potential white-space opportunity.
2026-07-09,amazon_us,B000SSXDBM,"Pedigree Wet Dog Food, Choice Cuts Adult Canned Dog Food, Beef & Country Stew Multipack, 13.2 oz. Cans (12 Count, Pack of 1)",pedigree,dog_food,1.0,True,already_available_in_india,82.17,Brand 'pedigree' already tracked in India gold data; global signal may indicate a rising SKU/variant to prioritize.
2026-07-09,amazon_us,B0C72S38F3,"Whisper Quiet Dog Nail Grinder with 4 LED Lights, Safe & Stress-Free for Sensitive Dogs Cats of All Breeds & Sizes, 3 Grindin",whisper,grooming,1.0,False,not_yet_available_in_india,82.06,Category 'grooming' already sold in India; brand 'whisper' not seen in today's India gold data - potential white-space opportunity.
2026-07-09,amazon_us,B003CL3PTM,"Hill's Science Diet Adult 1-6 Small & Mini Dry Dog Food, Chicken & Brown Rice, 4.5 lb. Bag",hills,dog_food,1.0,False,not_yet_available_in_india,81.95,Category 'dog_food' already sold in India; brand 'hills' not seen in today's India gold data - potential white-space opportunity.
2026-07-09,amazon_us,B01BKYFR7K,"IAMS Proactive Health Dry Cat Food, Indoor Weight and Hairball Care Cat Food Dry Recipe, with Real Chicken in Every Bite, 7 l",iams,cat_food,1.0,False,not_yet_available_in_india,81.95,Category 'cat_food' already sold in India; brand 'iams' not seen in today's India gold data - potential white-space opportunity.
2026-07-09,amazon_us,B0D6W8B4FM,"TBTeek Cat Toys, Rechargeable, 3 Light Modes & 5 Fun Patterns, Portable Interactive Kitten Pet Dog Cat Mouse Toy for Fun Chas",tbteek,cat_toys,1.0,False,not_yet_available_in_india,81.77,Category 'cat_toys' already sold in India; brand 'tbteek' not seen in today's India gold data - potential white-space opportunity.
2026-07-09,amazon_us,B0CGCS344P,"Supet Inflatable Dog Cone Collar Alternative After Surgery, Doggie Neck Donut Collar Recovery ECollar, Soft Dog Cone for Smal",supet,health_wellness,1.0,False,not_yet_available_in_india,81.77,Category 'health_wellness' already sold in India; brand 'supet' not seen in today's India gold data - potential white-space opportunity.
2026-07-09,amazon_us,B084HMMQ8M,"Providence Engraving Pet ID Tags in 8 Shapes, 9 Colors, and Two Sizes - Personalized Dog and Cat Tags with 4 Lines of Customi",providence,collars_leashes,1.0,False,not_yet_available_in_india,81.66,Category 'collars_leashes' already sold in India; brand 'providence' not seen in today's India gold data - potential white-space opportunity.
2026-07-09,amazon_us,B0DPDKW3B4,Name Pattern Art Design - Dog Tags Personalized for Pets - Custom Cats Dogs ID Tag - Stainless Steel Deep Engraving (Bone),name,collars_leashes,1.0,False,not_yet_available_in_india,81.58,Category 'collars_leashes' already sold in India; brand 'name' not seen in today's India gold data - potential white-space opportunity.
2026-07-09,amazon_us,B00OQYBWPI,Chuckit! Ultra Ball Dog Toy - Medium Bouncy Fetch Balls For Dogs 20-60 lbs - Made from Durable Rubber - Floating Water Pet To,chuckit,dog_toys,1.0,False,not_yet_available_in_india,81.39,Category 'dog_toys' already sold in India; brand 'chuckit' not seen in today's India gold data - potential white-space opportunity.
2026-07-09,amazon_us,B00DT2WL26,"Catstages Tower of Tracks Cat Toy – 3-Level Track Tower with 6 Balls, Interactive Cat Toy for Indoor Enrichment",catstages,cat_toys,1.0,False,not_yet_available_in_india,81.36,Category 'cat_toys' already sold in India; brand 'catstages' not seen in today's India gold data - potential white-space opportunity.
